# Directed graph: test.txt 
# Save as tab-separated list of edges
# Nodes: 1024 Edges: 3693
# FromNodeId	ToNodeId
1	0
2	1
3	0
3	1
4	1
4	2
5	0
5	1
5	3
6	3
7	1
8	0
8	1
8	3
8	5
8	6
8	7
9	0
9	1
9	2
10	0
11	0
11	1
11	2
11	4
12	0
12	1
12	9
12	11
13	1
13	2
13	9
14	9
15	8
16	0
16	11
17	0
17	1
17	3
17	5
17	6
17	8
17	9
17	12
17	15
17	16
18	6
19	4
20	1
21	9
21	14
22	0
23	0
23	1
23	7
24	1
24	2
24	9
24	12
24	13
25	0
25	1
25	2
25	5
25	9
25	13
25	17
25	21
25	24
26	25
27	16
28	20
29	26
30	2
30	24
30	25
31	26
32	26
32	29
33	21
34	17
35	0
35	22
36	0
36	8
36	17
36	22
37	10
38	10
39	26
39	29
39	31
39	32
40	23
41	25
41	26
41	29
41	32
41	39
42	25
43	5
44	23
44	40
45	25
45	42
46	9
47	0
47	1
47	3
47	5
47	7
47	8
47	13
47	15
47	17
47	24
47	25
47	26
47	29
47	32
47	36
47	39
47	41
48	24
49	39
49	41
49	47
50	31
51	42
52	48
53	28
54	1
54	23
55	0
55	1
55	3
55	5
55	6
55	9
55	16
55	46
55	47
55	49
56	49
57	20
57	28
57	53
58	17
59	5
60	3
60	6
60	8
60	17
60	34
61	45
62	35
63	13
63	24
64	25
64	29
64	32
64	39
64	41
64	47
64	55
65	32
66	55
67	31
68	17
68	58
68	60
69	5
70	55
70	66
71	9
72	9
72	13
72	24
72	25
72	47
72	64
72	71
73	71
73	72
74	11
75	11
76	31
76	50
76	67
77	2
77	4
77	11
77	24
77	25
77	75
78	72
79	4
79	11
79	19
79	75
79	77
80	45
80	61
81	27
82	0
82	2
82	4
82	5
82	9
82	11
82	12
82	13
82	14
82	17
82	21
82	24
82	25
82	30
82	43
82	46
82	47
82	48
82	59
82	69
82	75
82	77
83	9
83	14
84	4
84	19
84	79
85	46
85	55
85	64
85	66
85	70
86	9
86	14
86	21
87	24
87	63
88	39
89	79
90	47
91	78
92	0
92	5
92	26
92	31
92	47
93	13
93	63
93	87
94	57
95	5
95	25
95	43
95	59
95	69
95	82
96	10
96	37
96	38
97	28
98	19
99	57
100	35
100	62
101	0
101	1
101	20
102	0
102	2
102	17
102	24
102	25
102	30
102	34
102	36
102	47
102	68
102	82
103	13
103	25
103	41
103	47
104	22
104	35
105	2
106	67
107	0
107	23
107	40
107	44
108	0
108	6
108	15
108	17
108	36
108	47
109	60
110	11
111	62
112	79
113	2
113	4
113	11
113	19
113	24
113	25
113	42
113	45
113	48
113	72
113	77
113	82
113	84
113	105
114	104
115	53
115	57
116	10
116	37
117	26
118	15
118	26
118	29
118	32
118	39
118	41
118	47
118	64
118	65
118	88
119	101
120	111
121	68
122	121
123	62
124	45
125	3
125	6
125	17
125	30
125	36
125	60
125	68
125	69
125	82
125	102
126	112
127	8
127	47
128	42
129	35
130	31
130	67
131	22
131	35
131	36
131	62
131	100
131	104
131	123
132	13
132	103
133	114
134	108
135	35
135	129
136	132
137	0
137	1
137	2
137	3
137	4
137	5
137	7
137	11
137	23
137	25
137	41
137	47
137	49
137	55
137	56
137	64
137	113
137	118
137	127
138	122
139	0
139	1
139	11
140	128
141	82
142	1
143	122
144	88
145	84
145	113
145	137
146	0
146	1
146	2
146	3
